Spot_Date,Premium,Ticker,Maturity,Interest_rate,Spot,Strike,Type,Implied_Volatility,Delta,Vega,Gamma,Theta,Rho,Lot_size,Name,Reference,ccy_pair,Dividend,DDELTA/DVOL,DDELTA/DVOLDVOL,DDELTA/DTIME,DGAMMA/DSPOT,DGAMMA/DVOL,DVEGA/DVOL,DVEGA/DVOLDVOL,RIC
2025-12-17 00:00:00,13.015625,TYWM C 99.5 12/17/2025 C 99.5,2025-12-17 00:00:00,0.03607,112.4375,99.5,C,,,,,,,1000.0000,CBoT 10y Wednesday Call Options C 99.5 Dec-2025,TYWM C 99.5 12/17/2025,USD,0,,,,,,,,WY3W995L25
2025-12-16 00:00:00,13.015625,TYWM C 99.5 12/17/2025 C 99.5,2025-12-17 00:00:00,0.036157,112.515625,99.5,C,0.766428129,0.998881498,0.000202176,0.000759255,-4.69623E-06,0.00272258,1000.0000,CBoT 10y Wednesday Call Options C 99.5 Dec-2025,TYWM C 99.5 12/17/2025,USD,0,-0.000136128,-1.31028E-05,0.005315581,-0.000583771,9.35198E-05,2.47285E-05,2.06174E-06,WY3W995L25
2025-12-15 00:00:00,12.78125,TYWM C 99.5 12/17/2025 C 99.5,2025-12-17 00:00:00,0.036259,112.28125,99.5,C,0.566192079,0.997961904,0.000489487,0.001248623,-0.001253807,0.005439516,1000.0000,CBoT 10y Wednesday Call Options C 99.5 Dec-2025,TYWM C 99.5 12/17/2025,USD,0,-0.000297064,-3.30498E-05,0.004304015,-0.000865275,0.0001811,7.17104E-05,6.72987E-06,WY3W995L25
2025-12-12 00:00:00,12.671875,TYWM C 99.5 12/17/2025 C 99.5,2025-12-17 00:00:00,0.03623,112.171875,99.5,C,0.388704773,0.995571681,0.001536249,0.002286069,-0.003045434,0.013562091,1000.0000,CBoT 10y Wednesday Call Options C 99.5 Dec-2025,TYWM C 99.5 12/17/2025,USD,0,-0.000783997,-9.9333E-05,0.003146255,-0.001335464,0.000392021,0.000273551,2.77421E-05,WY3W995L25
2025-12-11 00:00:00,12.953125,TYWM C 99.5 12/17/2025 C 99.5,2025-12-17 00:00:00,0.036223,112.453125,99.5,C,0.369394494,0.99484906,0.001924376,0.002498618,-0.003288355,0.016260946,1000.0000,CBoT 10y Wednesday Call Options C 99.5 Dec-2025,TYWM C 99.5 12/17/2025,USD,0,-0.000922334,-0.0001163,0.002937938,-0.001375714,0.000431764,0.000346767,3.4508E-05,WY3W995L25
2025-12-10 00:00:00,12.71875,TYWM C 99.5 12/17/2025 C 99.5,2025-12-17 00:00:00,0.03625,112.21875,99.5,C,0.341950788,0.994133477,0.002322809,0.002803749,-0.003327286,0.018955934,1000.0000,CBoT 10y Wednesday Call Options C 99.5 Dec-2025,TYWM C 99.5 12/17/2025,USD,0,-0.001096507,-0.000142161,0.002776958,-0.001518007,0.000501661,0.000436899,4.41029E-05,WY3W995L25
2025-12-17 00:00:00,0.001,TYWM P 99.5 12/17/2025 P 99.5,2025-12-17 00:00:00,0.03607,112.4375,99.5,P,,,,,,,1000.0000,CBoT 10y Wednesday Call Options P 99.5 Dec-2025,TYWM P 99.5 12/17/2025,USD,0,,,,,,,,WY3W995X25
2025-12-16 00:00:00,0.001,TYWM P 99.5 12/17/2025 P 99.5,2025-12-17 00:00:00,0.036157,112.515625,99.5,P,0.750634094,-0.000820352,0.000165627,0.000634921,-0.00099999,-2.55621E-06,1000.0000,CBoT 10y Wednesday Call Options P 99.5 Dec-2025,TYWM P 99.5 12/17/2025,USD,0,-0.000116263,-1.20455E-05,0.004363461,-0.000508799,8.36514E-05,2.15584E-05,1.94996E-06,WY3W995X25
2025-12-15 00:00:00,0.001,TYWM P 99.5 12/17/2025 P 99.5,2025-12-17 00:00:00,0.036259,112.28125,99.5,P,0.522544035,-0.00083415,0.000237846,0.000656262,-0.000997008,-5.18679E-06,1000.0000,CBoT 10y Wednesday Call Options P 99.5 Dec-2025,TYWM P 99.5 12/17/2025,USD,0,-0.000169359,-2.51129E-05,0.00221235,-0.000533356,0.00012354,4.42502E-05,5.72513E-06,WY3W995X25
2025-12-12 00:00:00,0.001,TYWM P 99.5 12/17/2025 P 99.5,2025-12-17 00:00:00,0.03623,112.171875,99.5,P,0.328056029,-0.00084072,0.000380731,0.000666545,-0.000779823,-1.30557E-05,1000.0000,CBoT 10y Wednesday Call Options P 99.5 Dec-2025,TYWM P 99.5 12/17/2025,USD,0,-0.000271527,-6.40171E-05,0.000890676,-0.000545311,0.00019935,0.000111979,2.30294E-05,WY3W995X25
2025-12-11 00:00:00,0.001,TYWM P 99.5 12/17/2025 P 99.5,2025-12-17 00:00:00,0.036223,112.453125,99.5,P,0.30519047,-0.000823931,0.000411108,0.000640421,-0.000704401,-1.53955E-05,1000.0000,CBoT 10y Wednesday Call Options P 99.5 Dec-2025,TYWM P 99.5 12/17/2025,USD,0,-0.000286976,-7.30502E-05,0.00072977,-0.000515084,0.000207215,0.000130215,2.89328E-05,WY3W995X25
2025-12-10 00:00:00,0.001,TYWM P 99.5 12/17/2025 P 99.5,2025-12-17 00:00:00,0.03625,112.21875,99.5,P,0.278145812,-0.000837852,0.00045103,0.000662045,-0.000637892,-1.82242E-05,1000.0000,CBoT 10y Wednesday Call Options P 99.5 Dec-2025,TYWM P 99.5 12/17/2025,USD,0,-0.000319323,-8.8858E-05,0.000634334,-0.000540063,0.000233778,0.000155931,3.78535E-05,WY3W995X25
2025-12-17 00:00:00,12.765625,TYWM C 99.75 12/17/2025 C 99.75,2025-12-17 00:00:00,0.03607,112.4375,99.75,C,,,,,,,1000.0000,CBoT 10y Wednesday Call Options C 99.75 Dec-2025,TYWM C 99.75 12/17/2025,USD,0,,,,,,,,WY3W9975L25
2025-12-16 00:00:00,12.765625,TYWM C 99.75 12/17/2025 C 99.75,2025-12-17 00:00:00,0.036157,112.515625,99.75,C,0.750781293,0.998880122,0.00020244,0.000776037,-4.60578E-06,0.002729425,1000.0000,CBoT 10y Wednesday Call Options C 99.75 Dec-2025,TYWM C 99.75 12/17/2025,USD,0,-0.000139157,-1.3674E-05,0.005322756,-0.000609031,9.75799E-05,2.52753E-05,2.15127E-06,WY3W9975L25
2025-12-15 00:00:00,12.53125,TYWM C 99.75 12/17/2025 C 99.75,2025-12-17 00:00:00,0.036259,112.28125,99.75,C,0.554433538,0.997959396,0.000490142,0.001276685,-0.001229283,0.005453199,1000.0000,CBoT 10y Wednesday Call Options C 99.75 Dec-2025,TYWM C 99.75 12/17/2025,USD,0,-0.000303787,-3.45167E-05,0.00430988,-0.000903352,0.000189098,7.33226E-05,7.02722E-06,WY3W9975L25
2025-12-12 00:00:00,12.421875,TYWM C 99.75 12/17/2025 C 99.75,2025-12-17 00:00:00,0.03623,112.171875,99.75,C,0.380566411,0.99556623,0.001538357,0.002337855,-0.002985367,0.013596254,1000.0000,CBoT 10y Wednesday Call Options C 99.75 Dec-2025,TYWM C 99.75 12/17/2025,USD,0,-0.000801906,-0.000103784,0.003150604,-0.001394676,0.00040948,0.000279751,2.89782E-05,WY3W9975L25
